"","Var1","Freq"
"92","Catocala",231
"93","Cerastis",5056
"94","Charanyca",71
"95","Charissa",3
"96","Chersotis",54
"97","Chiasmia",2
"98","Chloantha",5
"99","Choephora",2898
"100","Chrysanympha",211
"101","Chrysopeleiinae",1
"102","Chrysostola",47
"103","Chytolita",723
"104","Chytonidia",64
"105","Cinglis",1
"106","Cirphis",1
"107","Cirrhochrista",5
"108","Cissura",35
"109","Citheronula",3
"110","Citioica",7
"111","Clepsis",1263
"112","Clystea",65
"113","Cochylina",20
"114","Coleophora",2
"115","Collomena",150
"116","Comparmustilia",2
"117","Composia",2
"118","Conchylis",34
"119","Condica",23
"120","Condicinae",1
"121","Conisania",7
"122","Conobrosis",1
"123","Copablepharon",35
"124","Corula",1
"125","Cosmopterigidae",1
"126","Cosmopterix",1
"127","Crambidae",7
"128","Craniophora",2
"129","Crimona",15
"130","Crocidosema",26
"131","Cryptocala",31
"132","Ctenoplusia",24
"133","Cucullia",123
"134","Cyana",1449
"135","Cyanopepla",6
"136","Damias",4
"137","Daphnusa",4
"138","Dasygaster",844
"139","Dasypolia",6
"140","Delphyre",4
"141","Depress01",1
"142","Depressaria",17
"143","Depressariidae",2
"144","Diarsia",48
"145","Dichagyris",79
"146","Dichrorampha",5
"147","Diopa",3
"148","Drobeta",20
"149","Dypterygia",8
"150","Eacles",1
"151","Ectopatria",1
"152","Ectropis",1
"153","Egira",8
"154","Eilema",7
"155","elachBioLep01",24
"156","elachJanzen01",7
"157","Elaphria",60
"158","Electrophaes",1
"159","Elophila",44
"160","Emarginea",115
"161","Enargia",56
"162","Engelhardtia",1
"163","Ennominae",71
"164","Eochrois",5
"165","Eois",3
"166","Eomichla",2
"167","Epiblema",18
"168","Epidesma",6
"169","Epilecta",13
"170","Epinotia",16
"171","Epiphora",140
"172","Epipleminae",1
"173","Epipsilia",34
"174","Episcepsis",9
"175","Episteira",3
"176","Epithymema",2
"177","Erastrifacies",100
"178","Erebidae",34
"179","erebidBioLep01",2
"180","ereJanzen01",4
"181","Eressa",7
"182","Ernassa",1
"183","Erynnis",6
"184","Ethmia",4
"185","Euamiana",20
"186","Euaontia",7
"187","Eubaphe",30
"188","Eublemma",8
"189","Eucereon",15
"190","Euchaetis",1
"191","Eucoptocnemis",632
"192","Eucosma",1
"193","Eueretagrotis",777
"194","Eugnorisma",5804
"195","Eugraphe",1522
"196","Eulechria",15
"197","Eulepidotis",3
"198","Eulepte",38
"199","Euphyia",148
"200","Eupithecia",37
"201","Euplagia",50
"202","Eupsilia",34
"203","Eurois",356
"204","Euros",7
"205","Eusarca",11
"206","Eutamsia",3
"207","Eutelia",33
"208","Euteliidae",4
"209","Eutricopis",1
"210","Euxoa",19
"211","Euxootera",4
"212","Exaeretia",30
"213","Faculta",1
"214","Faronta",16
"215","Feltia",20
"216","Fergusonix",66
"217","Fodina",26
"218","Galgula",8
"219","Gamelia",56
"220","Garrha",4
"221","gelBioLep01",2
"222","geleBioLep01",36
"223","Gelechiidae",176
"224","gelJanzen01",6
"225","Geometridae",6
"226","Gesonia",1
"227","Glena",20
"228","Gloanna",1
"229","Glycythyma",1
"230","Glyphodes",3
"231","Gondysia",6
"232","Gonodonta",121
"233","Graphiphora",6
"234","Grapholita",1
"235","Grotella",7
"236","Gymnoscelis",5
"237","Gyrtona",7
"238","Habrosyne",4
"239","Hadena",57
"240","Hadenini",15
"241","Hagnagora",3
"242","Halysidota",24
"243","Hampsonodes",82
"244","Heleanna",12
"245","Helicoverpa",13
"246","Heliocheilus",1
"247","Heliolonche",2
"248","Heliothis",6
"249","Hellula",1
"250","Helotropha",9
"251","Hemiceras",82
"252","Hemiptera",7
"253","Herminia",39
"254","Herminiinae",8
"255","Herminocala",63
"256","Heterochroma",52
"257","Heterochyta",8
"258","Heterophysa",1
"259","Heteroteucha",15
"260","Hexorthodes",149
"261","Historis",31
"262","Hofmannophila",7
"263","Holcocera",1
"264","Homoanarta",4
"265","Homoglaea",12
"266","Homona",1
"267","Homorthodes",18
"268","Hoplodrina",360
"269","Hydraecia",3
"270","Hydriomena",24
"271","Hylesia",494
"272","Hymenia",1
"273","Hymenoptera",101
"274","Hypercompe",276
"275","Hyperthaema",4
"276","Hyphantria",8
"277","Hypocoena",2
"278","Hypomecis",13
"279","Hypospila",14
"280","Hypotrix",10
"281","Hyppa",64
"282","Ianius",5
"283","Ichneutica",8
"284","Idalus",321
"285","Idia",157
"286","Imosca",1
"287","Inga",3
"288","Insecta",31
"289","Iscadia",5
"290","Isotenes",3
"291","Lacanobia",528
"292","Lacinipolia",73
"293","Lamproptera",14
"294","Larentiinae",1
"295","Lascoria",108
"296","Lepidoptera",18201
"297","Lesmone",35
"298","Leucanella",426
"299","Leucania",22154
"300","Leucania1",10
"301","Leucanopsis",1
"302","Leucinodes",1
"303","Leucochlaena",41
"304","Leumicamia",1
"305","Limnaecia",2
"306","Lithosiopsis",1
"307","Loepa",62
"308","Lophocampa",12
"309","Lophonycta",2
"310","Lophoptera",43
"311","Lulavia",2
"312","Luperina",149
"313","Lymantriinae",4
"314","Lythrodes",1
"315","Macaria",6
"316","Macdunnoughia",9
"317","Macna",2
"318","Macrobathra",11
"319","Macrobrochis",3
"320","Macroglossum",3
"321","Maltagorea",3
"322","Marilopteryx",551
"323","Marimatha",2
"324","Mastixis",66
"325","Mecodina",6
"326","Meganola",5
"327","Melanchra",181
"328","Melese",402
"329","Mentaxya",3
"330","Mesapamea",17
"331","Mesoptila",1
"332","Mesothisa",3
"333","Metalectra",4
"334","Miantochora",2
"335","Micrapatetis",2
"336","Micrathetis",6
"337","Mimallonidae",4
"338","Mompha",20
"339","Momphidae",1
"340","Monochroa",1854
"341","Moodna",4
"342","Mopothila",23
"343","Morrisonia",35
"344","Mosopia",2
"345","Motya",8
"346","Mythimna",9935
"347","Nacoleia",8
"348","Naenia",9
"349","Narinosus",7
"350","Neleucania",942
"351","Nemoria",1
"352","Neoblastobasis",5
"353","Neochera",23
"354","Neodiphthera",3
"355","Neogabara",4
"356","Neoligia",22
"357","Niguza",2
"358","Niphonyx",7
"359","Nkandla",1
"360","noctBioLep01",23
"361","Noctua",17400
"362","Noctuidae",238
"363","NoctuidaeGEN",1
"364","Noctuinae",640
"365","Noctuini",2
"366","Nola",88
"367","Nomophila",4
"368","Notocelia",12
"369","Notodontidae",10
"370","Ochrodota",7
"371","Ochrogaster",46
"372","Ochropleura",4533
"373","Odontelia",2
"374","Oedicentra",9
"375","Oglasa",1
"376","Olethreutes",2
"377","Olethreutinae",6
"378","Olethreutini",2
"379","Omphalucha",2
"380","Operophtera",1
"381","Opharus",22
"382","Ophyx",2
"383","Opigena",60
"384","Oraesia",988
"385","Orontobia",3
"386","Orthodes",74
"387","Orthonama",1
"388","Orthosia",1902
"389","Oxacme",12
"390","Oxycilla",23
"391","Oxycnemis",3
"392","Oxythres",3
"393","Pachydota",79
"394","Pantographa",7
"395","Papestra",88
"396","Parabagrotis",21455
"397","Parabarrovia",30
"398","Paradiarsia",1
"399","Parastenolechia",4
"400","Pardomima",1
"401","Pareuchaetes",70
"402","Paromphale",498
"403","Parornix",25
"404","Parotis",8
"405","Pasiphila",19
"406","Pastona",1
"407","Pechipogo",141
"408","Pelochyta",2
"409","Peridea",5
"410","Peridroma",298
"411","Perigea",32
"412","Perigrapha",10
"413","Perissopteryx",4
"414","Perizoma",3
"415","Pero",83
"416","Perusia",3
"417","Pharga",2554
"418","Philenora",7
"419","Philobota",1
"420","Phlogophora",2397
"421","Phoenicophanta",3
"422","Phostria",7
"423","Phragmatiphila",53
"424","Phrissogonus",2
"425","Phrygionis",1
"426","Phthonandria",6
"427","Physocleora",53
"428","Physula",3
"429","Pilipectus",4
"430","Pisara",6
"431","Pitthea",3
"432","Platarctia",267
"433","Platyprepia",14
"434","Pleromella",1
"435","Pleuroptya",1
"436","Plusiinae",1
"437","Polia",35
"438","Polychrysia",1
"439","Polypogon",433
"440","Polytela",83
"441","Pompeius",15
"442","Ponometia",67
"443","Prepocosma",8
"444","Pronoctua",6
"445","Properigea",10
"446","Proteuxoa",11
"447","Protogygia",2
"448","Protolampra",2424
"449","Protoperigea",9
"450","Protophyta",5
"451","Protorthodes",492
"452","Prototrachea",16
"453","Psaliodes",139
"454","PsaphidiniRZ",3
"455","Pseudanarta",50
"456","Pseudanthoecia",3
"457","Pseudautomeris",5
"458","Pseudexentera",6
"459","Pseudobryomima",3
"460","Pseudohemihyalea",10
"461","Pseudohermonassa",644
"462","Pseudorthodes",20
"463","Psilocorsis",2
"464","Psychocampa",11
"465","Pygarctia",1
"466","Rachesa",31
"467","Rejectaria",20
"468","Renia",15
"469","Resapamea",5
"470","Rhapsa",4
"471","Rhodina",7
"472","Rhyacia",26142
"473","Rhynchodontodes",1
"474","Richia",3186
"475","Rosema",1
"476","Rusina",19
"477","Saturnia",2
"478","Savoca",2
"479","Schinia",421
"480","Scoliopteryx",17
"481","Scopula",321
"482","Scotogramma",110
"483","Sesamia",235
"484","Sideridis",54
"485","Simopteryx",47
"486","Simplicia",1
"487","Soloe",91
"488","Somatina",17
"489","Sosxetra",37
"490","Spaelotis",24
"491","Spargaloma",5
"492","Spargania",19
"493","Sparganothina",4
"494","Spilomelinae",1
"495","Spiramater",12
"496","Spodoptera",1969
"497","Standfussiana",69
"498","Stathmopoda",23
"499","Staurophora",2
"500","Strepsicrates",25
"501","Stretchia",17
"502","Striacosta",33
"503","Striglina",3
"504","Suleima",15
"505","Sympistis",10
"506","Sympoecila",8
"507","Syngrapha",571
"508","Syntherata",1
"509","Tarista",1
"510","Tatargina",2
"511","Tesagrotis",48
"512","Thalatha",2
"513","Thalatta",2
"514","Thera",2
"515","Theretra",1
"516","Thliptocnemis",2
"517","Thoracolopha",2
"518","Thrincophora",397
"519","Tiliacea",556
"520","Tiracola",6
"521","Tlotzinia",2
"522","Tolpia",2
"523","Tolpiodes",258
"524","tortBioLep01",1
"525","tortJanzen01",2
"526","Tortricidae",174
"527","TortricidaeGEN",23
"528","Tortricinae",6
"529","Trichocosmia",49
"530","Trichopolia",610
"531","Trichromia",8
"532","Tridepia",3
"533","Trisyntopa",9
"534","Tuta",126
"535","Tyspanodes",2
"536","Ulolonche",1
"537","Usta",5
"538","Venusia",3
"539","Xanthodes",6
"540","Xestia",6430
"541","Xylina1",77
"542","Xylodonta",1838
"543","Zanclognatha",180
"544","Zosteropoda",17
